start_date,start_time,end_time,event_type,address,address2,city,state,zip
2026-03-21,16:00,18:00,Tax Time,2104 S Broad St,,Philadelphia,PA,19145
2026-03-21,12:00,14:00,Tax Time,5249 Frankford Ave,,Philadelphia,PA,19124
2026-03-21,16:00,18:00,Tax Time,4664 Frankford Ave,,Philadelphia,PA,19124
2026-03-27,15:00,17:00,Tax Time,2701 North Broad St,,Philadelphia,PA,19132
2026-03-27,15:00,17:00,Tax Time,2644 Germantown Ave,,Philadelphia,PA,19133
2026-03-28,12:00,14:00,Tax Time,5614 N Broad St,,Philadelphia,PA,19141
2026-03-28,16:00,18:00,Tax Time,5602 North 5th St,,Philadelphia,PA,19120
2026-03-28,12:00,14:00,Tax Time,1037 S Broad St,,Trenton,NJ,08611
2026-03-28,16:00,18:00,Tax Time,507 Hamilton Ave,,Trenton,NJ,08609
2026-02-27,15:00,17:00,Tax Time,5506 Kenilworth Ave,,Riverdale,MD,20737
2026-02-28,15:00,17:00,Tax Time,6261 Livingston Rd,,Oxon Hill,MD,20745
2026-03-06,15:00,17:00,Tax Time,651 E University Blvd,,Silver Spring,MD,20901
2026-03-07,15:00,17:00,Tax Time,5 Willowdale Dr,Unit B12,Frederick,MD,21702
2026-03-13,15:00,17:00,Tax Time,5506 Kenilworth Ave,,Riverdale,MD,20737
2026-03-14,15:00,17:00,Tax Time,216 N Frederick Ave,,Gaithersburg,MD,20877
2026-03-20,15:00,17:00,Tax Time,14435 Richmond Hwy,,Woodbridge,VA,22191
2026-03-21,15:00,17:00,Tax Time,14087 Richmond Hwy,125,Woodbridge,VA,22191
2026-03-27,15:00,17:00,Tax Time,1305 University Blvd E,,Takoma Park,MD,20912
2026-03-28,15:00,17:00,Tax Time,1500-a University Blvd,,Hyattsville,MD,20783
2026-02-27,15:00,17:00,Tax Time,5427 Reisterstown Rd,,Baltimore,MD,21215
2026-03-06,15:00,17:00,Tax Time,337 Hospital Dr,,Glen Burnie,MD,21061
2026-03-13,15:00,17:00,Tax Time,3727 Eastern Ave,,Baltimore,MD,21224
2026-03-14,15:00,17:00,Tax Time,5214 Baltimore National Pike,Suite C,Baltimore,MD,21229
2026-03-20,15:00,17:00,Tax Time,710 Merritt Blvd,,Baltimore,MD,21224
2026-03-21,15:00,17:00,Tax Time,200 N Highland Ave,E,Baltimore,MD,21224
2026-02-20,17:00,19:00,Tax Time,947 E 8th Ave,,Hialeah,FL,33010
2026-02-20,17:00,19:00,Tax Time,133 Ne 54 St,,Miami,FL,33137
2026-02-21,15:00,17:00,Tax Time,1313 W 49th St,2,Hialeah,FL,33012
2026-02-21,15:00,17:00,Tax Time,455 NE 167th St,,North Miami Beach,FL,33162
2026-02-27,17:00,19:00,Tax Time,15912 SW 137th Ave,,Miami,FL,33177
2026-02-27,17:00,19:00,Tax Time,1674 NW 17th Ave,,Miami,FL,33125
2026-02-28,17:00,19:00,Tax Time,256 Washington Ave,,Homestead,FL,33030
2026-02-28,15:00,17:00,Tax Time,977 W State Road 84,,Fort Lauderdale,FL,33315
2026-02-28,14:00,18:00,Adbikes,1706 NW 36th St,,Miami,FL,33142
2026-03-01,13:00,17:00,Adbikes,17014 Collins Ave,,Sunny Isl Bch,FL,33160
2026-03-06,15:00,17:00,Tax Time,563 W Oakland Park Blvd,,Wilton Manors,FL,33311
2026-03-06,15:00,17:00,Tax Time,2408 N University Dr,,Sunrise,FL,33322
2026-03-07,15:00,17:00,Tax Time,3853 W Hillsboro Blvd,,Deerfield Beach,FL,33442
2026-03-07,15:00,17:00,Tax Time,5347 N State Road 7,,Tamarac,FL,33319
2026-03-13,15:00,17:00,Tax Time,117 SE 8th Dr,,Okeechobee,FL,34974
2026-03-13,15:00,17:00,Tax Time,1024 SE Port St Lucie Blvd,,Port Saint Lucie,FL,34952
2026-03-14,15:00,17:00,Tax Time,1264 N Military Trl,,West Palm Beach,FL,33409
2026-03-14,15:00,17:00,Tax Time,3094 S Jog Rd,,Greenacres,FL,33467
2026-03-20,15:00,17:00,Tax Time,740 W 49th St,,Hialeah,FL,33012
2026-03-20,15:00,17:00,Tax Time,10963 SW 40th St,,Miami,FL,33165
2026-03-21,15:00,17:00,Tax Time,1944 NE 163rd St,,North Miami Beach,FL,33162
2026-03-21,15:00,17:00,Tax Time,12192 NW 7th Ave,,North Miami,FL,33168
2026-02-20,15:00,17:00,Tax Time,12449 Central Ave,,Chino,CA,91710
2026-02-20,15:00,17:00,Tax Time,421 N Atlantic Blvd,114,Monterey Park,CA,91754
