event_date,start_date,end_date,event_time,event_type,address,address2,city,state,zip
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,14707 Hillside Ave,,Jamaica,NY,11435
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,75-14 Roosevelt Ave,,Jackson Heights,NY,11372
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,126 Wyckoff Ave,,Brooklyn,NY,11237
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,274 Wyckoff Ave,,Brooklyn,NY,11237
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,1707 Broadway,,Brooklyn,NY,11207
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,76 S Main St,,Freeport,NY,11520
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,939 Flatbush Ave,,Brooklyn,NY,11226
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,1881a Rockaway Pkwy,,Brooklyn,NY,11236
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,67-18 Fresh Pond Rd,,Ridgewood,NY,11385
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,2007 Flatbush Ave,,Brooklyn,NY,11234
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,602 Brighton Beach Ave,,Brooklyn,NY,11235
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,507b E 163rd St,,Bronx,NY,10451
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,125 E Burnside Ave,,Bronx,NY,10453
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,364 21st Ave,,Paterson,NJ,7501
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,331 Kearny Ave,,Kearny,NJ,7032
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,8610 Roosevelt Ave,,Jackson Heights,NY,11372
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,2513 Broadway,,Astoria,NY,11106
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,542 W 207 St,,New York,NY,10034
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,3341 Broadway,,New York,NY,10031
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,11304 Liberty Ave,,S Richmond Hl,NY,11419
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,8624 Rockaway Beach Blvd,,Far Rockaway,Ny,11693
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,1733 University Ave,,Bronx,NY,10453
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,15 W Burnside Ave,,Bronx,NY,10453
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,474 Hempstead Tpke,,Elmont,NY,11003
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,133 Fulton Ave,,Hempstead,NY,11550
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,2395 Westchester Ave,,Bronx,NY,10461
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,1350 E Gun Hill Rd,,Bronx,NY,10469
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,46 Gramatan Ave,,Mount Vernon,NY,10550
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,415a S Broadway,,Yonkers,NY,10705
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,153 Ferry St,,Newark,NJ,7105
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,5723 Bergenline Ave,,West New York,NJ,7093
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,97 Mamaroneck Ave,,White Plains,NY,10601
2025-11-28,2025-11-28,2025-12-14,All Day,Exclusive Saving - Limited-time Offer,39 S Main St,,Spring Valley,NY,10977
