,,FM do not fill out,,,,FM do not fill out,,,,
,TSP ID,Agent Assigned Store ID,Location Status,Address 1,State,CMA,Start Date,End Date,Ticket Allocation,Event Type 
,New York,,,,,,,,,
,,,,,,,,,,
14,,,,,,,,,,
,Houston,,,,,,,,,
1,158075,,Open,9647 S. Gessner ,TX,,8/29/2025,9/14/25,30,SSI
1,163504,,Open,6855 S. Gessner,TX,,8/29/2025,9/14/25,30,SSI
1,156578,,Open,"1209 Main Street, Pasadena",TX,,8/29/2025,9/14/25,30,SSI
1,156345,,Open,"2619 Red Bluff Road, Pasadena",TX,,8/29/2025,9/14/25,30,SSI
1,156657,,Open,3341 Telephone Rd,TX,,8/29/2025,9/14/25,30,SSI
1,164143,,Open,433a Uvalde Rd,TX,,8/29/2025,9/14/25,30,SSI
1,165798,,Open,20851 FM 1485 Rd,TX,,8/29/2025,9/14/25,30,SSI
1,159610,,Open,"23607 Kelly Joe Smith Rd., Porter TX",TX,,8/29/2025,9/14/25,30,SSI
1,158772,,Open,"1700 Decker Dr., Baytown TX",TX,,8/29/2025,9/14/25,30,SSI
1,166270,,Open,1525 LittleYork Rd,TX,,8/29/2025,9/14/25,30,SSI
1,159445,,Open,206 E. Little York Rd,TX,,8/29/2025,9/14/25,30,SSI
1,157761,,Open,5750 W. Little York Rd,TX,,8/29/2025,9/14/25,30,SSI
1,166838,,Open,5819 Gulf Freeway,TX,,8/29/2025,9/14/25,30,SSI
1,156580,,Open,7049 Lawndale Street,TX,,8/29/2025,9/14/25,30,SSI
,,,,,,,,,,
14,,,,,,,,,,
,LA,,,,,,,,,
1,166450,,Open,"7201 Pacific Blvd, Walnut Park",CA,,8/29/2025,9/14/25,30,SSI
1,163418,,Open,600 S. Alvarado,CA,,8/29/2025,9/14/25,30,SSI
1,164356,,Open,827 S. Vermont,CA,,8/29/2025,9/14/25,30,SSI
1,165611,,Open,908 N. Vermont,CA,,8/29/2025,9/14/25,30,SSI
1,164502,,Open,1500 E. Florence Ave,CA,,8/29/2025,9/14/25,30,SSI
1,164501,,Open,1100 N. Western Ave,CA,,8/29/2025,9/14/25,30,SSI
1,166756,,Open,10714 S. Western Ave,CA,,8/29/2025,9/14/25,30,SSI
1,164417,,Open,1714 S. Western Ave,CA,,8/29/2025,9/14/25,30,SSI
1,165328,,Open,1550 W. Rosecrans Ave,CA,,8/29/2025,9/14/25,30,SSI
1,156016,,Open,705 S. Alvarado,CA,,8/29/2025,9/14/25,30,SSI
1,159130,,Open,3702 W. 3rd Street,CA,,8/29/2025,9/14/25,30,SSI
1,164823,,Open,3991 S. Western Ave,CA,,8/29/2025,9/14/25,30,SSI
1,164503,,Open,621 S. Broadway,CA,,8/29/2025,9/14/25,30,SSI
1,166738,,Open,1041 S. Alvarado,CA,,8/29/2025,9/14/25,30,SSI
,,,,,,,,,,
14,,,,,,,,,,
,Miami,,,,,,,,,
1,165623,,Open ,1313 W 49th St. 2 Hialeah,FL,,8/29/2025,9/14/25,30,SSI Event 
1,161159,,Open ,"15912 SW 137th Ave, Miami",FL,,8/29/2025,9/14/25,30,SSI Event 
1,166162,,Open ,6337 Stirling Rd. Davie FL,FL,,8/29/2025,9/14/25,30,SSI Event 
1,166164,,Open ,3670 Davie Blvd Fort Lauderdale FL,FL,,8/29/2025,9/14/25,30,SSI Event 
1,165210,,Open ,12192 NW 7th Ave. North Miami FL,FL,,8/29/2025,9/14/25,30,SSI Event 
1,157442,,Open ,133 NE 54 St. Miami FL,FL,,8/29/2025,9/14/25,30,SSI Event 
1,157075,,Open ,"549 E Sample Rd, Pompano Beach",FL,,8/29/2025,9/14/25,30,SSI
1,164318,,Open ,"3853 W Hillsboro Blvd, Deerfiled Beach",FL,,8/29/2025,9/14/25,30,SSI
1,166028,,Open ,1944 NE 163rd St. North Miami Beach,FL,,8/29/2025,9/14/25,30,SSI
1,166193,,Open ,1101 Banks Rd. Margate,FL,,8/29/2025,9/14/25,30,SSI
1,165403,,Open ,977 W State Road 84. Fort Laudardale,FL,,8/29/2025,9/14/25,30,SSI
1,166262,,Open ,671 NE 125th St. North Miami,FL,,8/29/2025,9/14/25,30,SSI
,,,,,,,,,,
,,,,,,,,,,
12,,,,,,,,,,
